***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-04-18-05-09-2021"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39859.9671;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0072;;
39859.9842;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0351;;
39860.0012;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;60.0301;;
39860.0172;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;59.9966;;
39860.0342;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;60.0036;;
39860.0672;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;60.0204;;
39860.0842;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;60.0060;;
39860.1012;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;60.0285;;
39860.1179;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;60.0047;;
39860.1339;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;60.0264;;
39860.1679;(-23.1855, 1.0250, 0.0023);87.6000;2.9000;60.0000;;
39860.1840;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;59.9784;;
39860.2010;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;59.9847;;
39860.2173;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;60.0230;;
39860.2343;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;59.9878;;
39860.2673;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;60.0311;;
39860.2843;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;59.9611;;
39860.3013;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;60.0160;;
39860.3174;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;60.0044;;
39860.3344;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;60.0206;;
39860.3681;(-23.1856, 1.0250, 0.0023);87.6000;2.9000;60.0131;;
39860.3841;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;59.9670;;
39860.4011;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;60.0018;;
39860.4171;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;59.9619;;
